"Id.Proceso.CNA","Institución","Estado de acreditación","Años de acreditación","Duración del programa (trimestres)","¿Tiene inclusión o diversidad en el perfil de egreso?","¿Tiene ramos de inclusión?","Cantidad de ramos de inclusión","Carrera"
"PREG-00299-03-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",4,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-00231-04-00","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Acreditada",7,18,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-02023-02-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",3,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-02044-02-00","UNIVERSIDAD DE MAGALLANES","Acreditada",2,20,"Si","Si",4,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-00731-04-00","UNIVERSIDAD MAYOR","Acreditada",6,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-00493-06-00","UNIVERSIDAD DE LAS AMÉRICAS","Acreditada",3,20,"Si","Si",5,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-00765-04-00","UNIVERSIDAD SAN SEBASTIÁN","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL"
"PREG-00302-05-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN HISTORIA Y GEOGRAFÍA"
"PREG-00670-05-00","UNIVERSIDAD DEL BÍO-BÍO","Acreditada",4,20,"No","Si",2,"PEDAGOGÍA EN HISTORIA Y GEOGRAFÍA"
"PREG-00620-03-00","UNIVERSIDAD DE TARAPACÁ","No acreditada",,20,"No","Si",1,"PEDAGOGÍA EN HISTORIA Y GEOGRAFÍA"
"PREG-00487-06-00","UNIVERSIDAD DE LA SERENA","Acreditada",4,20,"Si","Si",2,"PEDAGOGÍA EN HISTORIA Y GEOGRAFÍA"
"PREG-00544-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",2,18,"No","No",0,"PEDAGOGÍA EN HISTORIA Y GEOGRAFÍA"
"PREG-00433-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN HISTORIA Y GEOGRAFÍA"
"PREG-01182-04-00","UNIVERSIDAD DE LA FRONTERA","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-01371-03-00","UNIVERSIDAD DIEGO PORTALES","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00434-05-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00545-04-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",,18,"No","No",0,"PEDAGOGÍA EN INGLÉS"
"PREG-00488-04-00","UNIVERSIDAD DE LA SERENA","Acreditada",4,20,"Si","Si",3,"PEDAGOGÍA EN INGLÉS"
"PREG-00606-05-00","UNIVERSIDAD DE TARAPACÁ","Acreditada",2,20,"No","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00671-05-00","UNIVERSIDAD DEL BÍO-BÍO","No acreditada",,20,"Si","Si",2,"PEDAGOGÍA EN INGLÉS"
"PREG-00131-05-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",3,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00140-04-00","UNIVERSIDAD ALBERTO HURTADO","Acreditada",5,20,"No","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00212-04-00","UNIVERSIDAD AUTÓNOMA DE CHILE","Acreditada",,20,"Si","Si",2,"PEDAGOGÍA EN INGLÉS"
"PREG-00107-05-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Acreditada",6,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00291-04-00","UNIVERSIDAD CATÓLICA DEL NORTE","Acreditada",4,20,"Si","Si",1,"PEDAGOGÍA EN INGLÉS"
"PREG-00277-04-00","UNIVERSIDAD CATÓLICA DEL MAULE","Acreditada",6,20,"Si","Si",2,"PEDAGOGÍA EN INGLÉS"
"PREG-00255-04-00","UNIVERSIDAD CATÓLICA DE TEMUCO","Acreditada",6,20,"Si","Si",2,"PEDAGOGÍA EN INGLÉS"
"PREG-00771-04-00","UNIVERSIDAD SAN SEBASTIÁN","Acreditada",3,20,"Si","Si",3,"PEDAGOGÍA EN INGLÉS"
"PREG-00537-05-00","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Acreditada",4,18,"No","No",0,"PEDAGOGÍA EN CASTELLANO"
"PREG-00296-06-00","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Acreditada",4,20,"No","Si",1,"PEDAGOGÍA EN CASTELLANO"
"PREG-00424-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN CIENCIAS NATURALES Y BIOLOGÍA"
"PREG-00426-04-00","UNIVERSIDAD DE CONCEPCIÓN","Acreditada",5,20,"Si","Si",1,"PEDAGOGÍA EN CIENCIAS NATURALES Y QUÍMICA"
"PREG-00051-04-00","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Acreditada",6,20,"No","Si",1,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
"PREG-00127-03-00","UNIVERSIDAD ADVENTISTA DE CHILE","Acreditada",,20,"Si","Si",2,"PEDAGOGÍA EN EDUCACIÓN GENERAL BÁSICA"
